Aid.Type,Aid.Type.f
Contributions to specific-purpose programmes and funds manag,Contrib. to specific-\npurpose prog.
Project Type interventions,Project-Type\ninterventions
Basket funds/pooled funding,Basket funds
Other technical assistance,Other TA
Donor Country personnel,Donor Country\npersonnel
Sector budget support,Sector budget\nsupport
General budget support,GBS
Core contributions to multilateral institutions,Core contrib. to\nmulti.institutions
"Core support to NGOs, other private bodies, PPPs and researc","Core support to NGOs, etc."
Scholarships/Training in donor country,Scholarships/Training\nin donor country
