"","Aid.Type","Aid.Type.f"
"1","Basket funds/pooled funding","Basket funds"
"2","Contributions to specific-purpose programmes and funds manag","Contrib. to specific-
purpose prog."
"3","Core contributions to multilateral institutions","Core contrib. to
multi.institutions"
"4","Core support to NGOs, other private bodies, PPPs and researc","Core support to NGOs, etc."
"5","Donor Country personnel","Donor Country
personnel"
"6","General budget support","GBS"
"7","Other technical assistance","Other TA"
"8","Project Type interventions","Project-Type
interventions"
"9","Scholarships/Training in donor country","Scholarships/Training
in donor country"
"10","Sector budget support","Sector budget
support"
